"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_invited_at"
"1365","1889","0_20",2,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,526.3342534601757],""highlights_count"":[65,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20,0.0]}","2019-07-08 15:58:50.337175"
"1367","1889","20_20",2,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,526.3342534601757],""highlights_count"":[65,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20,20.0]}","2019-07-08 15:58:50.337175"
"1369","1889","0_30",2,0,"{""source"":[]}","{""tribes"":[[1853,1886,1889],[1873,1889,1859]],""tribes_score"":[526.43639842212,526.3342534601757],""highlights_count"":[65,301],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30,0.0]}","2019-07-08 15:58:50.337175"
"1378","1895","30",4,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1868,1861,1895],[1904,1895,1903],[1911,1895,1914]],""tribes_score"":[464.2055130748919,439.76199603106625,449.68810893359887,472.0654191644876],""highlights_count"":[34,65,38,45],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,30.0,30.0,30.0]}","2019-07-08 15:58:50.337175"
"1372","1895","0",3,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891],[1904,1895,1903],[1911,1895,1861]],""tribes_score"":[464.2055130748919,449.68810893359887,492.4587187114688],""highlights_count"":[34,38,52],""times"":[""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00"",""2019-07-08T11:58:50.337-04:00""],""penalties"":[0,0.0,0.0]}","2019-07-08 15:58:50.337175"
"1383","1891","50",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
"1387","1891","20_5",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-5]}","2019-07-08 15:58:50.337175"
"1389","1891","0_20",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1391","1891","20_20",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-20]}","2019-07-08 15:58:50.337175"
"1393","1891","0_30",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
"1395","1891","20_30",1,0,"{""source"":[]}","{""tribes"":[[1861,1895,1891]],""tribes_score"":[464.2055130748919],""highlights_count"":[34],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[-30]}","2019-07-08 15:58:50.337175"
"1396","1873","0",1,0,"{""source"":[]}","{""tribes"":[[1859,1873,1889]],""tribes_score"":[508.9887604774335],""highlights_count"":[301],""times"":[""2019-07-08T11:58:50.337-04:00""],""penalties"":[0]}","2019-07-08 15:58:50.337175"
