"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_invited_at"
"3942","2155","20",2,0,"{""source"":[]}","{""tribes"":[[2114,2132,2155],[2176,2144,2155]],""tribes_score"":[318.47067041536013,421.38471727463036],""highlights_count"":[18,40],""times"":[""2019-07-10T14:41:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[0,0]}","2019-07-21 03:19:36.804076"
"3943","2155","30",2,0,"{""source"":[]}","{""tribes"":[[2114,2132,2155],[2176,2144,2155]],""tribes_score"":[318.47067041536013,421.38471727463036],""highlights_count"":[18,40],""times"":[""2019-07-10T14:41:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[0,0]}","2019-07-21 03:19:36.804076"
"3944","2155","40",2,0,"{""source"":[]}","{""tribes"":[[2114,2132,2155],[2176,2144,2155]],""tribes_score"":[318.47067041536013,421.38471727463036],""highlights_count"":[18,40],""times"":[""2019-07-10T14:41:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[0,0]}","2019-07-21 03:19:36.804076"
"3945","2155","50",2,0,"{""source"":[]}","{""tribes"":[[2114,2132,2155],[2176,2144,2155]],""tribes_score"":[318.47067041536013,421.38471727463036],""highlights_count"":[18,40],""times"":[""2019-07-10T14:41:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[0,0]}","2019-07-21 03:19:36.804076"
"4085","2110","0_10",3,0,"{""source"":[]}","{""tribes"":[[2120,2110,2124],[2174,2110,2164],[2176,2174,2110]],""tribes_score"":[383.4344765371144,513.791454562987,435.1961226804624],""highlights_count"":[31,250,148],""times"":[""2019-07-12T07:00:24.804-04:00"",""2019-07-20T09:53:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[-10,-0.0,0.0]}","2019-07-21 03:19:36.804076"
"4087","2110","10_10",3,0,"{""source"":[]}","{""tribes"":[[2120,2110,2133],[2174,2110,2164],[2176,2174,2110]],""tribes_score"":[393.13663788777126,513.791454562987,435.1961226804624],""highlights_count"":[35,250,148],""times"":[""2019-07-12T07:00:24.804-04:00"",""2019-07-20T09:53:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[-10,0,4.399999999907407]}","2019-07-21 03:19:36.804076"
"4088","2110","20_10",4,0,"{""source"":[]}","{""tribes"":[[2120,2110,2133],[2129,2110,2132],[2174,2110,2164],[2176,2174,2110]],""tribes_score"":[393.13663788777126,462.8587893732723,513.791454562987,435.1961226804624],""highlights_count"":[35,28,250,148],""times"":[""2019-07-12T07:00:24.804-04:00"",""2019-07-14T19:29:12.804-04:00"",""2019-07-20T09:53:12.804-04:00"",""2019-07-20T23:19:36.804-04:00""],""penalties"":[-10,0,0,8.799999999814814]}","2019-07-21 03:19:36.804076"
"4394","2152","0_20",1,0,"{""source"":[]}","{""tribes"":[[2176,2144,2152]],""tribes_score"":[401.42218610080727],""highlights_count"":[21],""times"":[""2019-07-20T23:19:36.804-04:00""],""penalties"":[-20]}","2019-07-21 03:19:36.804076"
"4395","2152","10_20",1,0,"{""source"":[]}","{""tribes"":[[2176,2144,2152]],""tribes_score"":[401.42218610080727],""highlights_count"":[21],""times"":[""2019-07-20T23:19:36.804-04:00""],""penalties"":[-20]}","2019-07-21 03:19:36.804076"
"4396","2152","20_20",1,0,"{""source"":[]}","{""tribes"":[[2176,2144,2152]],""tribes_score"":[401.42218610080727],""highlights_count"":[21],""times"":[""2019-07-20T23:19:36.804-04:00""],""penalties"":[-20]}","2019-07-21 03:19:36.804076"
