"id","user_id","simu_id","matches","potential_matches","potential_matches_sources","tribe_matched","last_matched_at"
"836","892","31",1,0,"{""source"":[]}","{""tribes"":[[746,890,892]],""tribes_score"":[520.8273483427104],""highlights_count"":[41],""times"":[1.74],""penalties"":[0]}","1.74"
"837","892","41",1,0,"{""source"":[]}","{""tribes"":[[746,890,892]],""tribes_score"":[520.8273483427104],""highlights_count"":[41],""times"":[1.74],""penalties"":[0]}","1.74"
"838","1130","0_5",1,0,"{""source"":[]}","{""tribes"":[[746,1130,833]],""tribes_score"":[535.0056986849552],""highlights_count"":[113],""times"":[1.74],""penalties"":[-2.5]}","1.74"
"839","1130","10_5",1,0,"{""source"":[]}","{""tribes"":[[746,1130,1635]],""tribes_score"":[529.7310908066881],""highlights_count"":[161],""times"":[1.74],""penalties"":[-2.5]}","1.74"
"840","1635","10_5",1,0,"{""source"":[]}","{""tribes"":[[746,1130,1635]],""tribes_score"":[529.7310908066881],""highlights_count"":[161],""times"":[1.74],""penalties"":[-2.5]}","1.74"
"841","1130","0_20",1,0,"{""source"":[]}","{""tribes"":[[746,1130,1635]],""tribes_score"":[529.7310908066881],""highlights_count"":[161],""times"":[1.74],""penalties"":[-10.0]}","1.74"
"842","1635","0_20",1,0,"{""source"":[]}","{""tribes"":[[746,1130,1635]],""tribes_score"":[529.7310908066881],""highlights_count"":[161],""times"":[1.74],""penalties"":[-10.0]}","1.74"
"843","1130","10_20",1,0,"{""source"":[]}","{""tribes"":[[746,1130,1635]],""tribes_score"":[529.7310908066881],""highlights_count"":[161],""times"":[1.74],""penalties"":[-10.0]}","1.74"
"844","1635","10_20",1,0,"{""source"":[]}","{""tribes"":[[746,1130,1635]],""tribes_score"":[529.7310908066881],""highlights_count"":[161],""times"":[1.74],""penalties"":[-10.0]}","1.74"
"846","1169","11",1,0,"{""source"":[]}","{""tribes"":[[749,1169,726]],""tribes_score"":[537.5305545342269],""highlights_count"":[249],""times"":[1.77],""penalties"":[0]}","1.77"
"847","726","11",1,0,"{""source"":[]}","{""tribes"":[[749,1169,726]],""tribes_score"":[537.5305545342269],""highlights_count"":[249],""times"":[1.77],""penalties"":[0]}","1.77"
"848","1203","21",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[0]}","1.77"
"850","1203","31",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[0]}","1.77"
"852","1203","41",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[0]}","1.77"
"855","1169","10_5",1,0,"{""source"":[]}","{""tribes"":[[749,1169,726]],""tribes_score"":[537.5305545342269],""highlights_count"":[249],""times"":[1.77],""penalties"":[-2.5]}","1.77"
"856","726","10_5",1,0,"{""source"":[]}","{""tribes"":[[749,1169,726]],""tribes_score"":[537.5305545342269],""highlights_count"":[249],""times"":[1.77],""penalties"":[-2.5]}","1.77"
"857","1203","0_20",1,0,"{""source"":[]}","{""tribes"":[[749,1203,1196]],""tribes_score"":[532.1636872851493],""highlights_count"":[103],""times"":[1.77],""penalties"":[-10.0]}","1.77"
